Unnamed: 0,match_id,player,batting_team,runs,balls_faced,fours,sixes,is_dismissed,dismissal_kind,inning,strike_rate,balls_bowled,runs_conceded,dot_balls,wickets,overs,economy,maidens,catches,run_outs,direct_run_out,stadium,pitch_type,grass_cover,moisture,dew_prediction,bounce_and_carry,fantasy_points,matchYear,matchMonth,matchDay,matchDayOfWeek,matchDayOfYear
19,1216492,SS Tiwary,Mumbai Indians,42.0,31.0,3.0,1.0,1.0,caught,1.0,135.48387096774192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,62.0,2020,9,19,5,263
20,1216492,TA Boult,Mumbai Indians,0.0,1.0,0.0,0.0,1.0,bowled,1.0,0.0,20.0,23.0,12.0,1.0,3.0,7.666666666666667,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,40.0,2020,9,19,5,263
15,1216492,RG Sharma,Mumbai Indians,12.0,10.0,2.0,0.0,1.0,caught,1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,20.0,2020,9,19,5,263
28,1216493,KL Rahul,Kings XI Punjab,23.0,21.0,2.0,1.0,2.0,bowledcaught,2.0952380952380953,109.52380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,45.0,2020,9,20,6,264
27,1216493,KK Nair,Kings XI Punjab,1.0,3.0,0.0,0.0,1.0,caught,2.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,1.0,2020,9,20,6,264
26,1216493,K Rabada,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,28.0,29.0,13.0,4.0,4.0,7.25,0.0,1.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,153.0,2020,9,20,6,264
25,1216493,K Gowtham,Kings XI Punjab,20.0,14.0,1.0,1.0,1.0,caught,2.0,142.85714285714286,24.0,39.0,5.0,0.0,4.0,9.75,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,37.0,2020,9,20,6,264
31,1216493,MP Stoinis,Delhi Capitals,53.0,23.0,7.0,3.0,1.0,run out,1.0,230.43478260869568,18.0,29.0,6.0,2.0,3.0,9.666666666666666,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,179.0,2020,9,20,6,264
23,1216493,CJ Jordan,Kings XI Punjab,5.0,6.0,0.0,0.0,1.0,caught,2.0,83.33333333333334,28.0,52.0,11.0,1.0,4.0,13.0,0.0,2.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,56.0,2020,9,20,6,264
22,1216493,AR Patel,Delhi Capitals,6.0,9.0,0.0,0.0,1.0,caught,1.0,66.66666666666666,24.0,14.0,11.0,1.0,4.0,3.5,0.0,1.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,61.0,2020,9,20,6,264
