match_id,date,bowler,wickets,runs_given,overs_bowled
1216502,2020-10-31,S Nadeem,1,35,4
1216502,2020-10-31,Sandeep Sharma,2,19,4
1216502,2020-10-31,T Natarajan,1,11,4
1216502,2020-10-31,Washington Sundar,1,21,3
1216502,2020-10-31,YS Chahal,2,19,4
1216503,2020-10-01,JDS Neesham,0,51,4
1216503,2020-10-01,JJ Bumrah,2,18,4
1216503,2020-10-01,JL Pattinson,2,27,4
1216503,2020-10-01,K Gowtham,1,45,4
1216503,2020-10-01,KH Pandya,1,24,4
1216503,2020-10-01,Mohammed Shami,1,34,4
1216503,2020-10-01,RD Chahar,2,25,4
1216503,2020-10-01,Ravi Bishnoi,1,36,4
1216503,2020-10-01,SS Cottrell,1,19,4
1216503,2020-10-01,TA Boult,1,42,4
1216504,2020-09-30,AS Rajpoot,1,35,4
1216504,2020-09-30,CV Varun,2,25,4
1216504,2020-09-30,JC Archer,2,18,4
1216504,2020-09-30,JD Unadkat,1,14,2
1216504,2020-09-30,KL Nagarkoti,2,13,2
1216504,2020-09-30,Kuldeep Yadav,1,20,3
1216504,2020-09-30,PJ Cummins,1,13,3
1216504,2020-09-30,R Parag,0,14,1
1216504,2020-09-30,R Tewatia,1,6,1
1216504,2020-09-30,S Gopal,0,43,4
1216504,2020-09-30,SP Narine,1,39,4
1216504,2020-09-30,Shivam Mavi,2,20,4
1216504,2020-09-30,TK Curran,1,33,4
1216505,2020-11-02,A Nortje,4,33,4
1216505,2020-11-02,AR Patel,0,30,4
1216505,2020-11-02,CH Morris,0,19,2
1216505,2020-11-02,DR Sams,0,37,4
1216505,2020-11-02,I Udana,0,24,2
1216505,2020-11-02,K Rabada,2,30,4
1216505,2020-11-02,Mohammed Siraj,1,27,3
1216505,2020-11-02,R Ashwin,1,18,4
1216505,2020-11-02,Shahbaz Ahmed,2,25,4
1216505,2020-11-02,Washington Sundar,1,24,4
1216505,2020-11-02,YS Chahal,0,29,4
1216506,2020-11-01,CH Gayle,0,5,1
1216506,2020-11-01,CJ Jordan,1,31,3
1216506,2020-11-01,DL Chahar,0,30,3
1216506,2020-11-01,Imran Tahir,1,24,4
1216506,2020-11-01,JDS Neesham,0,25,3
1216506,2020-11-01,L Ngidi,3,38,4
1216506,2020-11-01,M Ashwin,0,17,4
1216506,2020-11-01,Mohammed Shami,0,24,4
1216506,2020-11-01,RA Jadeja,1,17,3
1216506,2020-11-01,Ravi Bishnoi,0,38,4
1216506,2020-11-01,SM Curran,0,15,2
1216506,2020-11-01,SN Thakur,1,27,4
1216507,2020-10-11,Abhishek Sharma,0,11,1
1216507,2020-10-11,BA Stokes,0,7,1
1216507,2020-10-11,JC Archer,1,24,4
1216507,2020-10-11,JD Unadkat,2,30,4
1216507,2020-10-11,KK Ahmed,2,37,4
1216507,2020-10-11,Kartik Tyagi,1,29,3
1216507,2020-10-11,R Tewatia,0,34,4
1216507,2020-10-11,Rashid Khan,2,25,4
1216507,2020-10-11,S Gopal,0,31,4
1216507,2020-10-11,Sandeep Sharma,0,32,4
1216507,2020-10-11,T Natarajan,1,32,4
1216507,2020-10-11,V Shankar,0,20,3
1216508,2020-09-23,AD Russell,1,17,2
1216508,2020-09-23,JJ Bumrah,2,31,4
1216508,2020-09-23,JL Pattinson,2,24,4
1216508,2020-09-23,KA Pollard,1,20,3
1216508,2020-09-23,KH Pandya,0,10,1
1216508,2020-09-23,Kuldeep Yadav,0,37,4
1216508,2020-09-23,PJ Cummins,0,45,3
1216508,2020-09-23,RD Chahar,2,26,4
1216508,2020-09-23,S Sandeep Warrier,0,31,3
1216508,2020-09-23,SP Narine,2,22,4
1216508,2020-09-23,Shivam Mavi,2,29,4
1216508,2020-09-23,TA Boult,2,30,4
1216509,2020-10-17,A Nortje,2,44,4
1216509,2020-10-17,AR Patel,0,23,4
1216509,2020-10-17,DJ Bravo,1,22,3
1216509,2020-10-17,DL Chahar,2,18,4
1216509,2020-10-17,K Rabada,1,31,4
1216509,2020-10-17,KV Sharma,0,34,3
1216509,2020-10-17,MP Stoinis,0,10,1
1216509,2020-10-17,R Ashwin,0,30,3
1216509,2020-10-17,RA Jadeja,0,34,2
1216509,2020-10-17,SM Curran,1,34,4
1216509,2020-10-17,SN Thakur,1,39,4
1216509,2020-10-17,TU Deshpande,1,37,4
1216510,2020-09-24,DW Steyn,0,56,4
1216510,2020-09-24,GJ Maxwell,1,10,2
1216510,2020-09-24,JDS Neesham,0,12,2
1216510,2020-09-24,M Ashwin,3,20,3
1216510,2020-09-24,Mohammed Shami,1,14,3
1216510,2020-09-24,Navdeep Saini,0,35,4
1216510,2020-09-24,Ravi Bishnoi,3,29,4
1216510,2020-09-24,S Dube,2,33,3
1216510,2020-09-24,SS Cottrell,2,15,3
1216510,2020-09-24,UT Yadav,0,33,3
1216510,2020-09-24,Washington Sundar,0,13,2
1216510,2020-09-24,YS Chahal,1,25,4
1216511,2020-10-06,AS Rajpoot,0,40,3
1216511,2020-10-06,JC Archer,1,33,4
1216511,2020-10-06,JJ Bumrah,4,20,4
1216511,2020-10-06,JL Pattinson,2,19,4
1216511,2020-10-06,KA Pollard,1,24,2
1216511,2020-10-06,KH Pandya,0,22,2
1216511,2020-10-06,Kartik Tyagi,1,33,4
1216511,2020-10-06,R Tewatia,0,13,2
1216511,2020-10-06,RD Chahar,1,23,3
1216511,2020-10-06,S Gopal,2,28,4
1216511,2020-10-06,TA Boult,2,26,4
1216511,2020-10-06,TK Curran,0,32,3
1216512,2020-10-18,AD Russell,0,28,2
1216512,2020-10-18,Basil Thampi,1,46,4
1216512,2020-10-18,CV Varun,1,32,4
1216512,2020-10-18,Kuldeep Yadav,0,17,3
1216512,2020-10-18,LH Ferguson,5,17,5
1216512,2020-10-18,PJ Cummins,1,28,4
1216512,2020-10-18,Rashid Khan,1,29,5
1216512,2020-10-18,Sandeep Sharma,0,27,4
1216512,2020-10-18,Shivam Mavi,1,33,3
1216512,2020-10-18,T Natarajan,2,39,4
1216512,2020-10-18,V Shankar,1,20,4
1216513,2020-10-04,CJ Jordan,0,42,3
1216513,2020-10-04,DJ Bravo,0,36,4
1216513,2020-10-04,DL Chahar,0,17,3
1216513,2020-10-04,Harpreet Brar,0,40,4
1216513,2020-10-04,Mohammed Shami,0,29,4
1216513,2020-10-04,PP Chawla,1,22,2
1216513,2020-10-04,RA Jadeja,1,30,4
1216513,2020-10-04,Ravi Bishnoi,0,31,4
1216513,2020-10-04,SM Curran,0,31,3
1216513,2020-10-04,SN Thakur,2,38,4
1216513,2020-10-04,SS Cottrell,0,28,3
1216514,2020-10-03,A Zampa,0,27,3
1216514,2020-10-03,I Udana,2,40,4
1216514,2020-10-03,JC Archer,1,18,4
1216514,2020-10-03,JD Unadkat,0,31,3
1216514,2020-10-03,Navdeep Saini,1,36,4
1216514,2020-10-03,R Parag,0,11,1
1216514,2020-10-03,R Tewatia,0,28,4
1216514,2020-10-03,S Dube,0,4,1
1216514,2020-10-03,S Gopal,1,27,4
1216514,2020-10-03,TK Curran,0,40,4
1216514,2020-10-03,Washington Sundar,0,20,4
1216514,2020-10-03,YS Chahal,3,24,4
1216515,2020-10-03,A Mishra,1,13,2
