,match_id,player,batting_team,runs,balls_faced,fours,sixes,is_dismissed,dismissal_kind,inning,strike_rate,balls_bowled,runs_conceded,dot_balls,wickets,overs,economy,maidens,catches,run_outs,direct_run_out,date,stadium,pitch_type,grass_cover,moisture,dew_prediction,bounce_and_carry,fantasy_points
0,1216492,AT Rayudu,Chennai Super Kings,71.0,49.0,6.0,3.0,1.0,caught and bowled,2.0,144.89795918367346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-19,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,123.0
1,1216492,DL Chahar,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,31.0,8.0,2.0,4.0,7.75,0.0,0.0,0.0,0.0,2020-09-19,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,68.0
2,1216492,F du Plessis,Chennai Super Kings,58.0,45.0,6.0,0.0,0.0,0,2.0,128.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2020-09-19,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,117.0
3,1216492,HH Pandya,Mumbai Indians,14.0,10.0,0.0,2.0,1.0,caught,1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-19,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,28.0
4,1216492,JJ Bumrah,Mumbai Indians,5.0,3.0,0.0,0.0,0.0,0,1.0,166.66666666666669,26.0,41.0,11.0,1.0,4.0,10.25,0.0,0.0,0.0,0.0,2020-09-19,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,44.0
5,1216492,JL Pattinson,Mumbai Indians,11.0,8.0,2.0,0.0,1.0,caught,1.0,137.5,25.0,26.0,11.0,1.0,4.0,6.5,0.0,1.0,0.0,0.0,2020-09-19,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,70.0
6,1216492,KA Pollard,Mumbai Indians,18.0,14.0,1.0,1.0,1.0,caught,1.0,128.57142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-19,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,28.0
7,1216492,KH Pandya,Mumbai Indians,3.0,3.0,0.0,0.0,1.0,caught,1.0,100.0,25.0,36.0,3.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,2020-09-19,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,36.0
8,1216492,L Ngidi,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26.0,36.0,10.0,3.0,4.0,9.0,0.0,0.0,0.0,0.0,2020-09-19,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,104.0
9,1216492,M Vijay,Chennai Super Kings,1.0,8.0,0.0,0.0,1.0,lbw,2.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-19,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,1.0
